Count,AirplaneID,Source,Destination,DepartureTime,ArrivalTime,RunningStatus,NumOfStops,Fare
0,Boeing 727,VABP,VAAU,08:58,20:33,Delayed,0,16751
1,Boeing 787,VERC,VICX,09:17,16:45,On Time,0,31896
2,Embraer ERJ155,VIPK,VASD,01:41,05:32,On Time,1,29499
3,Boeing 707,VECC,VABP,01:05,02:49,On Time,1,46129
4,Embraer ERJ155,VEMH,VIGR,19:09,09:26,Cancelled,0,25786
5,Embraer ERJ145,VOCB,VEDG,22:11,18:50,Delayed,2,26679
6,Boeing 737,VOWA,VEMR,17:24,00:51,On Time,1,31806
7,Embraer ERJ155,VO80,VIAR,14:47,01:39,Delayed,1,5018
8,Boeing 727,VA1G,VEBD,09:45,23:34,On Time,2,19774
9,Airbus A320,VEJT,VEKW,20:34,00:58,On Time,0,8042
10,Airbus A332,VIAL,VIDP,05:55,15:34,On Time,0,46124
11,Boeing 787,VEDZ,VIJP,08:31,18:24,On Time,3,13251
12,Boeing 737,VOCB,VAUD,19:37,06:06,On Time,1,11424
13,Embraer ERJ165,VOWA,VANP,10:58,07:09,Delayed,2,35018
14,Embraer ERJ145,VA1P,VEDZ,20:30,13:49,On Time,1,10529
15,Boeing 787,VIBN,VOMY,10:39,22:27,On Time,1,44392
16,Boeing 747,VASL,VOWA,22:16,07:04,On Time,3,43513
17,Boeing 707,VIBK,VOML,07:37,20:40,On Time,0,26896
18,Airbus A332,VOHY,VOBL,13:48,05:11,On Time,1,46967
19,Boeing 747,VEMH,VOSM,21:57,04:45,On Time,2,18715
20,Boeing 747,VAPR,VOPB,17:54,08:13,On Time,0,14909
21,Airbus A320,VIKG,VOMM,23:31,16:07,On Time,3,41066
22,Embraer ERJ145,VARK,VAND,14:30,13:59,On Time,3,42817
23,Airbus A319,VEMN,VAOZ,15:46,00:33,On Time,1,34820
24,Boeing 787,VA1G,VEJS,09:54,04:21,On Time,1,41393
25,Boeing 737,VEGT,VOTV,05:59,09:05,On Time,1,32497
26,Embraer ERJ145,VABV,VO80,08:02,15:40,Cancelled,3,5576
27,Boeing 737,VILK,VEKW,19:11,06:50,On Time,0,45580
28,Embraer ERJ145,VOSM,VIPT,15:29,22:43,Delayed,0,17310
29,Embraer ERJ145,VEKW,VAAU,03:16,14:47,On Time,2,13112
30,Boeing 727,VEDG,VIBK,11:37,14:01,On Time,0,45533
31,Boeing 707,VEIM,VEBI,13:19,09:13,On Time,2,42986
32,Airbus A321,VIAX,VEKW,22:07,02:16,Cancelled,0,44634
33,Airbus A319,VABV,VEJT,23:59,09:12,On Time,2,6266
34,Embraer ERJ155,VEBS,VABV,05:09,00:28,Delayed,0,41721
35,Boeing 727,VEJP,VIBY,00:14,06:52,Cancelled,0,30970
36,Boeing 707,VABB,VOBI,22:29,17:07,On Time,1,30506
37,Boeing 727,VOMM,VEDZ,08:19,01:26,Delayed,0,14593
38,Airbus A321,VABJ,VOTJ,17:34,16:38,Cancelled,3,28849
39,Boeing 707,VOCL,VEJT,14:42,04:43,Cancelled,0,30438
40,Embraer ERJ145,VIAR,VOCL,05:20,22:55,On Time,0,46112
41,Boeing 737,VOHY,VERC,12:04,14:08,Cancelled,0,10739
42,Embraer ERJ155,VIGR,VABI,07:59,06:55,On Time,2,30016
43,Airbus A332,VICX,VAAU,12:50,03:18,On Time,3,24918
44,Airbus A320,VEPT,VOCL,02:58,00:23,Delayed,0,33108
45,Airbus A320,VOBI,VABI,01:05,08:44,On Time,2,14927
46,Airbus A321,VAJM,VEBD,13:48,10:03,On Time,3,43926
47,Boeing 727,VEGK,VOPN,20:49,14:45,On Time,1,34988
48,Boeing 787,VIKG,VABM,21:02,23:51,Delayed,2,24471
49,Boeing 787,VOMD,VAPO,10:46,12:50,On Time,0,41116
50,Boeing 787,VORY,VIJU,05:13,00:25,Cancelled,0,39061
51,Boeing 707,VEPG,VILK,21:30,05:23,On Time,0,27541
52,Embraer ERJ145,VOTR,VOMM,06:18,21:26,Delayed,1,11747
53,Boeing 787,VORY,VIPK,04:08,00:31,On Time,1,18856
54,Airbus A321,VIAR,VOBL,21:27,02:58,Cancelled,1,11793
55,Boeing 747,VOCL,VOPB,06:50,12:07,Delayed,1,40175
56,Boeing 747,VEMN,VABP,08:28,06:53,Delayed,2,33293
57,Boeing 737,VABB,VIKO,00:41,15:43,On Time,2,12110
58,Airbus A321,VOTV,VOML,07:55,04:24,Cancelled,0,12849
59,Airbus A321,VOPB,VEJT,12:34,21:02,Delayed,2,20912
60,Embraer ERJ165,VIKO,VIBY,02:39,12:48,On Time,0,11015
61,Embraer ERJ155,VEJP,VEGT,07:32,03:29,On Time,0,41853
62,Airbus A321,VELP,VIKG,00:02,06:01,Delayed,2,27959
63,Airbus A321,VABP,VOBI,07:16,18:09,Delayed,1,32188
64,Boeing 707,VEMR,VABO,01:33,11:30,Delayed,0,31612
65,Airbus A332,VOPC,VABM,20:47,05:02,On Time,0,41248
66,Embraer ERJ145,VOCB,VOCB,06:12,07:59,Delayed,2,38073
67,Boeing 727,VAOZ,VAND,05:16,07:02,Delayed,2,29210
68,Airbus A320,VAPO,VASD,13:33,11:08,On Time,2,25057
69,Boeing 707,VABJ,VABM,07:31,04:56,Delayed,3,43508
70,Airbus A319,VEBG,VOTR,11:14,06:55,Cancelled,3,12052
71,Embraer ERJ155,VIAR,VAUD,03:32,01:29,On Time,3,22976
72,Boeing 737,VELP,VIKG,11:08,15:19,On Time,0,33283
73,Boeing 727,VABI,VOKN,10:09,05:56,On Time,0,5248
74,Boeing 737,VIAR,VASD,21:58,04:06,On Time,1,25510
75,Boeing 737,VEDZ,VOTR,09:28,04:38,On Time,1,13201
76,Airbus A319,VEMR,VIDN,20:04,22:18,On Time,0,48987
77,Embraer ERJ165,VILH,VEBD,23:47,23:33,On Time,0,24991
78,Embraer ERJ165,VOSM,VILK,17:18,10:45,Cancelled,0,9310
79,Airbus A321,VEKW,VIKG,05:10,23:31,On Time,1,18665
80,Embraer ERJ165,VEBD,VOCL,07:25,16:37,Cancelled,0,33035
81,Airbus A319,VARP,VIBK,00:32,00:29,On Time,0,25022
82,Embraer ERJ165,VORY,VO80,10:23,03:49,On Time,3,49166
