AirportID,AirportName,City,CityID
VIDP,Indira Gandhi International Airport,New Delhi,DEL
VABB,Chhatrapati Shivaji International Airport,Mumbai,BOM
VOBL,Kempegowda International Airport,Bangalore,BLR
VOMM,Chennai International Airport,Chennai,MAA
VAGO,Dabolim Airport,Vasco da Gama,GOI
VOCI,Cochin International Airport,Kochi,COK
VECC,Netaji Subhash Chandra Bose International Airport,Kolkata,CCU
VOHS,Rajiv Gandhi International Airport,Hyderabad,HYD
VOTV,Trivandrum International Airport,Thiruvananthapuram,TRV
VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,AMD
VIJP,Jaipur International Airport,Jaipur,JAI
VAPO,Pune Airport,Pune,PNQ
VIAR,Sri Guru Ram Dass Jee International Airport,Amritsar,ATQ
VABO,Vadodara Airport,Vadodara,BDQ
VOML,Mangalore International Airport,Mangalore,IXE
VOHY,Begumpet Airport,Hyderabad,BPM
VIBN,Lal Bahadur Shastri Airport,Varanasi,VNS
VOCL,Calicut International Airport,Calicut,CCJ
VEBS,Biju Patnaik Airport,Bhubaneswar,BBI
VOCB,Coimbatore International Airport,Coimbatore,CJB
VEGT,Lokpriya Gopinath Bordoloi International Airport,Guwahati,GAU
VEPT,Lok Nayak Jayaprakash Airport,Patna,PAT
VAID,Devi Ahilyabai Holkar Airport,Indore,IDR
VIJO,Jodhpur Airport,Jodhpur,JDH
VOMD,Madurai Airport,Madurai,IXM
VEBD,Bagdogra Airport,Siliguri,IXB
VEVZ,Vishakhapatnam Airport,Visakhapatnam,VTZ
VILK,Chaudhary Charan Singh International Airport,Lucknow,LKO
VICG,Chandigarh Airport,Chandigarh,IXC
VOPB,Vir Savarkar International Airport,Port Blair,IXZ
VARP,Raipur Airport,Raipur,RPR
VISR,Sheikh ul Alam Airport,Srinagar,SXR
VANP,Dr. Babasaheb Ambedkar International Airport,Naqpur,NAG
VAUD,Maharana Pratap Airport,Udaipur,UDR
VAAU,Aurangabad Airport,Aurangabad,IXU
VERC,Birsa Munda Airport,Ranchi,IXR
VABJ,Bhuj Airport,Bhuj,BHJ
VEAT,Agartala Airport,Agartala,IXA
VEJT,Jorhat Airport,Jorhat,JRH
VOPN,Sri Sathya Sai Airport,Puttaparthi,PUT
VARK,Rajkot Airport,Rajkot,RAJ
VABP,Raja Bhoj International Airport,Bhopal,BHO
VEIM,Imphal Airport,Imphal,IMF
VAJM,Jamnagar Airport,Jamnagar,JGA
VILH,Leh Kushok Bakula Rimpochee Airport,Leh,IXL
VORY,Rajahmundry Airport,Rajahmundry,RJA
VOTP,Tirupati Airport,Tirupati,TIR
VEMN,Dibrugarh Airport,Dibrugarh,DIB
VAKJ,Khajuraho Airport,Khajuraho,HJR
VIAL,Allahabad Airport,Allahabad,IXD
VAOZ,Nashik Airport,Nasik,ISK
VOTR,Tiruchirapally Civil Airport Airport,Tiruchirappally,TRZ
VIJU,Jammu Airport,Jammu,IXJ
VABM,Belgaum Airport,Belgaum,IXG
VABV,Bhavnagar Airport,Bhavnagar,BHU
VIDN,Dehradun Airport,Dehradun,DED
VAPR,Porbandar Airport,Porbandar,PBD
VEKU,Silchar Airport,Silchar,IXS
VA1P,Diu Airport,Diu,DIU
VAHB,Hubli Airport,Hubli,HBX
VOBI,Bellary Airport,Bellary,BEP
VEJS,Sonari Airport,Jamshedpur,IXW
VIKO,Kota Airport,Kota,KTU
VIPK,Pathankot Airport,Pathankot,IXP
VOPC,Pondicherry Airport,Pondicherry,PNY
VICX,Kanpur Airport,Kanpur,KNU
VA1G,"Rewa Airport, Chorhata, REWA",Rewa,REW
VEMR,Dimapur Airport,Dimapur,DMU
VIGR,Gwalior Airport,Gwalior,GWL
VELR,North Lakhimpur Airport,Lilabari,IXI
VEBI,Shillong Airport,Shillong,SHL
VAAK,Akola Airport,Akola,AKD
VIBY,Bareilly Air Force Station,Bareilly,BEK
VIBK,Nal Airport,Bikaner,BKB
VABI,Bilaspur Airport,Bilaspur,PAB
VEGK,Gorakhpur Airport,Gorakhpur,GOP
VOCP,Kadapa Airport,Kadapa,CDP
VAKE,Kandla Airport,Kandla,IXY
VIPT,Pantnagar Airport,Pantnagar,PGH
VOSM,Salem Airport,Salem,SXV
VEZO,Ziro Airport,Ziro,ZER
VIAX,Adampur Airport,Adampur,AIP
VELP,Lengpui Airport,Aizawl,AJL
VEBG,Balurghat Airport,Balurghat,RGH
VEJP,Jeypore Airport,Jeypore,PYB
VEKW,Khowai Airport,Khowai,IXN
VO55,Murod Kond Airport,Latur,LTU
VEMH,Malda Airport,Malda,LDA
VOMY,Mysore Airport,Mysore,MYQ
VAND,Nanded Airport,Nanded,NDC
VEPG,Pasighat Airport,Pasighat,IXT
VASL,Solapur Airport,Solapur,SSE
VOTJ,Tanjore Air Force Base,Thanjavur,TJV
VO80,Tuticorin Airport,Thoothukudi,TCR
VOWA,Warangal Airport,Warangal,WGC
VIKG,Kishangarh Airport,Ajmer,KQH
VEDZ,Daporijo Airport,Daporijo,DEP
VEDG,Kazi Nazrul Islam Airport,Durgapur,RDP
VOKN,Kannur International Airport,Kannur,CNN
VORG,Basanth Nagar Airport,Ramagundam,RMD
VASD,Shirdi Airport,Shirdi,SAG
